date,village_id,village_name,district,state,ph,turbidity,chlorine,bacteria,rainfall_mm,temperature_c,humidity_percent,daily_cases,cases_lag_7d,cases_lag_14d,rainfall_3d_sum,turbidity_7d_mean,chlorine_bacteria_ratio,risk_score,outbreak_risk_target
2024-01-01,VIL-001,Kamalabari,Majuli,Assam,7.69,10.52,0.251,323.4,14.5,29.8,76.1,4,0,0,14.5,10.52,0.00077,75,2
2024-01-02,VIL-001,Kamalabari,Majuli,Assam,7.4,3.74,0.561,16.9,0.0,38.6,68.9,1,0,0,14.5,7.13,0.03134,0,0
2024-01-03,VIL-001,Kamalabari,Majuli,Assam,7.21,4.05,0.284,135.6,0.0,20.6,44.4,3,0,0,14.5,6.1,0.00208,60,1
2024-01-04,VIL-001,Kamalabari,Majuli,Assam,7.7,3.64,0.242,34.4,0.0,31.7,73.0,3,0,0,0.0,5.49,0.00684,0,0
2024-01-05,VIL-001,Kamalabari,Majuli,Assam,5.48,0.81,0.15,110.9,64.7,28.5,71.1,1,0,0,64.7,4.55,0.00134,70,2
2024-01-06,VIL-001,Kamalabari,Majuli,Assam,7.51,1.97,0.784,46.0,13.1,31.3,79.7,2,0,0,77.8,4.12,0.01668,15,0
2024-01-07,VIL-001,Kamalabari,Majuli,Assam,6.71,5.06,0.39,73.0,17.1,26.4,73.2,2,0,0,94.9,4.26,0.00527,40,1
2024-01-08,VIL-001,Kamalabari,Majuli,Assam,6.0,0.39,0.354,151.0,0.0,28.8,71.2,3,4,0,30.2,2.81,0.00233,35,1
2024-01-09,VIL-001,Kamalabari,Majuli,Assam,7.41,1.18,0.51,137.8,11.9,31.8,53.6,2,1,0,29.0,2.44,0.00367,35,1
2024-01-10,VIL-001,Kamalabari,Majuli,Assam,7.92,1.18,0.233,170.1,0.0,41.5,63.7,2,3,0,11.9,2.03,0.00136,35,1
2024-01-11,VIL-001,Kamalabari,Majuli,Assam,7.02,2.06,0.35,5.2,1.4,32.2,80.7,4,3,0,13.3,1.81,0.05645,0,0
2024-01-12,VIL-001,Kamalabari,Majuli,Assam,7.67,14.31,0.36,99.5,0.0,25.6,95.6,2,1,0,1.4,3.74,0.00358,25,0
2024-01-13,VIL-001,Kamalabari,Majuli,Assam,8.07,0.25,0.258,12.7,32.7,27.3,73.8,1,2,0,34.1,3.49,0.01883,0,0
2024-01-14,VIL-001,Kamalabari,Majuli,Assam,7.89,2.66,0.566,45.4,0.0,27.2,78.9,3,2,0,32.7,3.15,0.0122,0,0
